日付,株価
2021-01-04,27258.38
2021-01-05,27158.63
2021-01-06,27055.94
2021-01-07,27490.13
2021-01-08,28139.03
2021-01-12,28164.34
2021-01-13,28456.59
2021-01-14,28698.26
2021-01-15,28519.18
2021-01-18,28242.21
2021-01-19,28633.46
2021-01-20,28523.26
2021-01-21,28756.86
2021-01-22,28631.45
2021-01-25,28822.29
2021-01-26,28546.18
2021-01-27,28635.21
2021-01-28,28197.42
2021-01-29,27663.39
2021-02-01,28091.05
2021-02-02,28362.17
2021-02-03,28646.5
2021-02-04,28341.95
2021-02-05,28779.19
2021-02-08,29388.5
2021-02-09,29505.93
2021-02-10,29562.93
2021-02-12,29520.07
2021-02-15,30084.15
2021-02-16,30467.75
2021-02-17,30292.19
2021-02-18,30236.09
2021-02-19,30017.92
2021-02-22,30156.03
2021-02-24,29671.7
2021-02-25,30168.27
2021-02-26,28966.01
2021-03-01,29663.5
2021-03-02,29408.17
2021-03-03,29559.1
2021-03-04,28930.11
2021-03-05,28864.32
2021-03-08,28743.25
2021-03-09,29027.94
2021-03-10,29036.56
2021-03-11,29211.64
2021-03-12,29717.83
2021-03-15,29766.97
2021-03-16,29921.09
2021-03-17,29914.33
2021-03-18,30216.75
2021-03-19,29792.05
2021-03-22,29174.15
2021-03-23,28995.92
2021-03-24,28405.52
2021-03-25,28729.88
2021-03-26,29176.7
2021-03-29,29384.52
2021-03-30,29432.7
2021-03-31,29178.8
2021-04-01,29388.87
2021-04-02,29854
2021-04-05,30089.25
2021-04-06,29696.63
2021-04-07,29730.79
2021-04-08,29708.98
2021-04-09,29768.06
2021-04-12,29538.73
2021-04-13,29751.61
2021-04-14,29620.99
2021-04-15,29642.69
2021-04-16,29683.37
2021-04-19,29685.37
2021-04-20,29100.38
2021-04-21,28508.55
2021-04-22,29188.17
2021-04-23,29020.63
2021-04-26,29126.23
2021-04-27,28991.89
2021-04-28,29053.97
2021-04-30,28812.63
2021-05-06,29331.37
2021-05-07,29357.82
2021-05-10,29518.34
2021-05-11,28608.59
2021-05-12,28147.51
2021-05-13,27448.01
2021-05-14,28084.47
2021-05-17,27824.83
2021-05-18,28406.84
2021-05-19,28044.45
2021-05-20,28098.25
2021-05-21,28317.83
2021-05-24,28364.61
2021-05-25,28553.98
2021-05-26,28642.19
2021-05-27,28549.01
2021-05-28,29149.41
2021-05-31,28860.08
2021-06-01,28814.34
2021-06-02,28946.14
2021-06-03,29058.11
2021-06-04,28941.52
2021-06-07,29019.24
2021-06-08,28963.56
2021-06-09,28860.8
2021-06-10,28958.56
2021-06-11,28948.73
2021-06-14,29161.8
2021-06-15,29441.3
2021-06-16,29291.01
2021-06-17,29018.33
2021-06-18,28964.08
2021-06-21,28010.93
2021-06-22,28884.13
2021-06-23,28874.89
2021-06-24,28875.23
2021-06-25,29066.18
2021-06-28,29048.02
2021-06-29,28812.61
2021-06-30,28791.53
2021-07-01,28707.04
2021-07-02,28783.28
2021-07-05,28598.19
2021-07-06,28643.21
2021-07-07,28366.95
2021-07-08,28118.03
2021-07-09,27940.42
2021-07-12,28569.02
2021-07-13,28718.24
2021-07-14,28608.49
2021-07-15,28279.09
2021-07-16,28003.08
2021-07-19,27652.74
2021-07-20,27388.16
2021-07-21,27548
2021-07-26,27833.29
2021-07-27,27970.22
2021-07-28,27581.66
2021-07-29,27782.42
2021-07-30,27283.59
2021-08-02,27781.02
2021-08-03,27641.83
2021-08-04,27584.08
2021-08-05,27728.12
2021-08-06,27820.04
2021-08-10,27888.15
2021-08-11,28070.51
2021-08-12,28015.02
2021-08-13,27977.15
2021-08-16,27523.19
2021-08-17,27424.47
2021-08-18,27585.91
2021-08-19,27281.17
2021-08-20,27013.25
2021-08-23,27494.24
2021-08-24,27732.1
2021-08-25,27724.8
2021-08-26,27742.29
2021-08-27,27641.14
2021-08-30,27789.29
2021-08-31,28089.54
2021-09-01,28451.02
2021-09-02,28543.51
2021-09-03,29128.11
2021-09-06,29659.89
2021-09-07,29916.14
2021-09-08,30181.21
2021-09-09,30008.19
2021-09-10,30381.84
2021-09-13,30447.37
2021-09-14,30670.1
2021-09-15,30511.71
2021-09-16,30323.34
2021-09-17,30500.05
2021-09-21,29839.71
2021-09-22,29639.4
2021-09-24,30248.81
2021-09-27,30240.06
2021-09-28,30183.96
2021-09-29,29544.29
2021-09-30,29452.66
2021-10-01,28771.07
2021-10-04,28444.89
2021-10-05,27822.12
2021-10-06,27528.87
2021-10-07,27678.21
2021-10-08,28048.94
2021-10-11,28498.2
2021-10-12,28230.61
2021-10-13,28140.28
2021-10-14,28550.93
2021-10-15,29068.63
2021-10-18,29025.46
2021-10-19,29215.52
2021-10-20,29255.55
2021-10-21,28708.58
2021-10-22,28804.85
2021-10-25,28600.41
2021-10-26,29106.01
2021-10-27,29098.24
2021-10-28,28820.09
2021-10-29,28892.69
2021-11-01,29647.08
2021-11-02,29520.9
2021-11-04,29794.37
2021-11-05,29611.57
2021-11-08,29507.05
2021-11-09,29285.46
2021-11-10,29106.78
2021-11-11,29277.86
2021-11-12,29609.97
2021-11-15,29776.8
2021-11-16,29808.12
2021-11-17,29688.33
2021-11-18,29598.66
2021-11-19,29745.87
2021-11-22,29774.11
2021-11-24,29302.66
2021-11-25,29499.28
2021-11-26,28751.62
2021-11-29,28283.92
2021-11-30,27821.76
2021-12-01,27935.62
2021-12-02,27753.37
2021-12-03,28029.57
2021-12-06,27927.37
